Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GoogleRunable,Chrome 131.0.0.0,,,14-01-2025 14:42:46,14-01-2025 14:43:22,"36,681s",PASSED
,,,,,,,
Test Cases/InicioExitosoPass,Chrome 131.0.0.0,,,14-01-2025 14:42:46,14-01-2025 14:43:09,"23,473s",PASSED
"openBrowser(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 131.0.0.0,,,14-01-2025 14:42:47,14-01-2025 14:42:57,"10,435s",PASSED
maximizeWindow(),Chrome 131.0.0.0,,,14-01-2025 14:42:57,14-01-2025 14:42:57,"0,068s",PASSED
waitForPageLoad(30),Chrome 131.0.0.0,,,14-01-2025 14:42:57,14-01-2025 14:42:58,"0,487s",PASSED
"sendKeys(findTestObject(""Object Repository/BtonUsuario""), Usuario)",Chrome 131.0.0.0,,,14-01-2025 14:42:58,14-01-2025 14:42:58,"0,460s",PASSED
"sendKeys(findTestObject(""Object Repository/BtonPassword""), Password)",Chrome 131.0.0.0,,,14-01-2025 14:42:58,14-01-2025 14:42:58,"0,350s",PASSED
"sendKeys(findTestObject(""Object Repository/BtonLoggin""), Keys.chord(ENTER))",Chrome 131.0.0.0,,,14-01-2025 14:42:58,14-01-2025 14:43:00,"1,188s",PASSED
"takeScreenshot(""D:/Capturas Imagenes Pruebas Aut/ProyectoAutomatizacionPass/"" + CapturaPantalla)",Chrome 131.0.0.0,,,14-01-2025 14:43:00,14-01-2025 14:43:05,"5,334s",PASSED
Thread.sleep(4000),Chrome 131.0.0.0,,,14-01-2025 14:43:05,14-01-2025 14:43:09,"4,034s",PASSED
closeBrowser(),Chrome 131.0.0.0,,,14-01-2025 14:43:09,14-01-2025 14:43:09,"0,572s",PASSED
,,,,,,,
Test Cases/InicioExitosoPass,Chrome 131.0.0.0,,,14-01-2025 14:43:10,14-01-2025 14:43:22,"12,847s",PASSED
"openBrowser(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 131.0.0.0,,,14-01-2025 14:43:10,14-01-2025 14:43:15,"4,994s",PASSED
maximizeWindow(),Chrome 131.0.0.0,,,14-01-2025 14:43:15,14-01-2025 14:43:15,"0,051s",PASSED
waitForPageLoad(30),Chrome 131.0.0.0,,,14-01-2025 14:43:15,14-01-2025 14:43:15,"0,016s",PASSED
"sendKeys(findTestObject(""Object Repository/BtonUsuario""), Usuario)",Chrome 131.0.0.0,,,14-01-2025 14:43:15,14-01-2025 14:43:15,"0,735s",PASSED
"sendKeys(findTestObject(""Object Repository/BtonPassword""), Password)",Chrome 131.0.0.0,,,14-01-2025 14:43:15,14-01-2025 14:43:16,"0,419s",PASSED
"sendKeys(findTestObject(""Object Repository/BtonLoggin""), Keys.chord(ENTER))",Chrome 131.0.0.0,,,14-01-2025 14:43:16,14-01-2025 14:43:17,"0,813s",PASSED
"takeScreenshot(""D:/Capturas Imagenes Pruebas Aut/ProyectoAutomatizacionPass/"" + CapturaPantalla)",Chrome 131.0.0.0,,,14-01-2025 14:43:17,14-01-2025 14:43:18,"0,874s",PASSED
Thread.sleep(4000),Chrome 131.0.0.0,,,14-01-2025 14:43:18,14-01-2025 14:43:22,"4,008s",PASSED
closeBrowser(),Chrome 131.0.0.0,,,14-01-2025 14:43:22,14-01-2025 14:43:22,"0,898s",PASSED
