Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GoogleRunable,Chrome 131.0.0.0,,,14-01-2025 14:44:59,14-01-2025 14:46:16,"1m - 16,278s",PASSED
,,,,,,,
Test Cases/InicioExitosoPass,Chrome 131.0.0.0,,,14-01-2025 14:45:00,14-01-2025 14:45:16,"16,021s",PASSED
"openBrowser(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 131.0.0.0,,,14-01-2025 14:45:00,14-01-2025 14:45:07,"6,760s",PASSED
maximizeWindow(),Chrome 131.0.0.0,,,14-01-2025 14:45:07,14-01-2025 14:45:07,"0,073s",PASSED
waitForPageLoad(30),Chrome 131.0.0.0,,,14-01-2025 14:45:07,14-01-2025 14:45:08,"0,614s",PASSED
"sendKeys(findTestObject(""Object Repository/BtonUsuario""), Usuario)",Chrome 131.0.0.0,,,14-01-2025 14:45:08,14-01-2025 14:45:08,"0,410s",PASSED
"sendKeys(findTestObject(""Object Repository/BtonPassword""), Password)",Chrome 131.0.0.0,,,14-01-2025 14:45:08,14-01-2025 14:45:08,"0,464s",PASSED
"sendKeys(findTestObject(""Object Repository/BtonLoggin""), Keys.chord(ENTER))",Chrome 131.0.0.0,,,14-01-2025 14:45:08,14-01-2025 14:45:10,"1,304s",PASSED
"takeScreenshot(""D:/Capturas Imagenes Pruebas Aut/ProyectoAutomatizacionPass/"" + CapturaPantalla)",Chrome 131.0.0.0,,,14-01-2025 14:45:10,14-01-2025 14:45:11,"1,556s",PASSED
Thread.sleep(4000),Chrome 131.0.0.0,,,14-01-2025 14:45:11,14-01-2025 14:45:15,"4,030s",PASSED
closeBrowser(),Chrome 131.0.0.0,,,14-01-2025 14:45:15,14-01-2025 14:45:16,"0,279s",PASSED
,,,,,,,
Test Cases/InicioExitosoPass,Chrome 131.0.0.0,,,14-01-2025 14:45:16,14-01-2025 14:45:28,"12,269s",PASSED
"openBrowser(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 131.0.0.0,,,14-01-2025 14:45:16,14-01-2025 14:45:20,"4,362s",PASSED
maximizeWindow(),Chrome 131.0.0.0,,,14-01-2025 14:45:20,14-01-2025 14:45:20,"0,036s",PASSED
waitForPageLoad(30),Chrome 131.0.0.0,,,14-01-2025 14:45:20,14-01-2025 14:45:20,"0,014s",PASSED
"sendKeys(findTestObject(""Object Repository/BtonUsuario""), Usuario)",Chrome 131.0.0.0,,,14-01-2025 14:45:20,14-01-2025 14:45:21,"0,833s",PASSED
"sendKeys(findTestObject(""Object Repository/BtonPassword""), Password)",Chrome 131.0.0.0,,,14-01-2025 14:45:21,14-01-2025 14:45:21,"0,359s",PASSED
"sendKeys(findTestObject(""Object Repository/BtonLoggin""), Keys.chord(ENTER))",Chrome 131.0.0.0,,,14-01-2025 14:45:21,14-01-2025 14:45:22,"1,088s",PASSED
"takeScreenshot(""D:/Capturas Imagenes Pruebas Aut/ProyectoAutomatizacionPass/"" + CapturaPantalla)",Chrome 131.0.0.0,,,14-01-2025 14:45:22,14-01-2025 14:45:23,"0,802s",PASSED
Thread.sleep(4000),Chrome 131.0.0.0,,,14-01-2025 14:45:23,14-01-2025 14:45:27,"4,005s",PASSED
closeBrowser(),Chrome 131.0.0.0,,,14-01-2025 14:45:27,14-01-2025 14:45:28,"0,729s",PASSED
,,,,,,,
Test Cases/InicioExitosoPass,Chrome 131.0.0.0,,,14-01-2025 14:45:28,14-01-2025 14:45:41,"12,629s",PASSED
"openBrowser(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 131.0.0.0,,,14-01-2025 14:45:28,14-01-2025 14:45:33,"4,956s",PASSED
maximizeWindow(),Chrome 131.0.0.0,,,14-01-2025 14:45:33,14-01-2025 14:45:33,"0,041s",PASSED
waitForPageLoad(30),Chrome 131.0.0.0,,,14-01-2025 14:45:33,14-01-2025 14:45:33,"0,014s",PASSED
"sendKeys(findTestObject(""Object Repository/BtonUsuario""), Usuario)",Chrome 131.0.0.0,,,14-01-2025 14:45:33,14-01-2025 14:45:34,"0,734s",PASSED
"sendKeys(findTestObject(""Object Repository/BtonPassword""), Password)",Chrome 131.0.0.0,,,14-01-2025 14:45:34,14-01-2025 14:45:34,"0,372s",PASSED
