Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"sendKeys(findTestObject(""Object Repository/BtonLoggin""), Keys.chord(ENTER))",Chrome 131.0.0.0,,,14-01-2025 14:45:34,14-01-2025 14:45:35,"1,154s",PASSED
"takeScreenshot(""D:/Capturas Imagenes Pruebas Aut/ProyectoAutomatizacionPass/"" + CapturaPantalla)",Chrome 131.0.0.0,,,14-01-2025 14:45:35,14-01-2025 14:45:36,"0,794s",PASSED
Thread.sleep(4000),Chrome 131.0.0.0,,,14-01-2025 14:45:36,14-01-2025 14:45:40,"4,008s",PASSED
closeBrowser(),Chrome 131.0.0.0,,,14-01-2025 14:45:40,14-01-2025 14:45:41,"0,534s",PASSED
,,,,,,,
Test Cases/InicioExitosoPass,Chrome 131.0.0.0,,,14-01-2025 14:45:41,14-01-2025 14:45:53,"12,327s",PASSED
"openBrowser(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 131.0.0.0,,,14-01-2025 14:45:41,14-01-2025 14:45:45,"4,076s",PASSED
maximizeWindow(),Chrome 131.0.0.0,,,14-01-2025 14:45:45,14-01-2025 14:45:45,"0,040s",PASSED
waitForPageLoad(30),Chrome 131.0.0.0,,,14-01-2025 14:45:45,14-01-2025 14:45:45,"0,013s",PASSED
"sendKeys(findTestObject(""Object Repository/BtonUsuario""), Usuario)",Chrome 131.0.0.0,,,14-01-2025 14:45:45,14-01-2025 14:45:46,"0,746s",PASSED
"sendKeys(findTestObject(""Object Repository/BtonPassword""), Password)",Chrome 131.0.0.0,,,14-01-2025 14:45:46,14-01-2025 14:45:46,"0,406s",PASSED
"sendKeys(findTestObject(""Object Repository/BtonLoggin""), Keys.chord(ENTER))",Chrome 131.0.0.0,,,14-01-2025 14:45:46,14-01-2025 14:45:47,"1,207s",PASSED
"takeScreenshot(""D:/Capturas Imagenes Pruebas Aut/ProyectoAutomatizacionPass/"" + CapturaPantalla)",Chrome 131.0.0.0,,,14-01-2025 14:45:47,14-01-2025 14:45:48,"0,784s",PASSED
Thread.sleep(4000),Chrome 131.0.0.0,,,14-01-2025 14:45:48,14-01-2025 14:45:52,"4,006s",PASSED
closeBrowser(),Chrome 131.0.0.0,,,14-01-2025 14:45:52,14-01-2025 14:45:53,"1,011s",PASSED
,,,,,,,
Test Cases/InicioExitosoPass,Chrome 131.0.0.0,,,14-01-2025 14:45:53,14-01-2025 14:46:05,"11,856s",PASSED
"openBrowser(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 131.0.0.0,,,14-01-2025 14:45:53,14-01-2025 14:45:57,"3,939s",PASSED
maximizeWindow(),Chrome 131.0.0.0,,,14-01-2025 14:45:57,14-01-2025 14:45:57,"0,040s",PASSED
waitForPageLoad(30),Chrome 131.0.0.0,,,14-01-2025 14:45:57,14-01-2025 14:45:57,"0,013s",PASSED
"sendKeys(findTestObject(""Object Repository/BtonUsuario""), Usuario)",Chrome 131.0.0.0,,,14-01-2025 14:45:57,14-01-2025 14:45:58,"0,760s",PASSED
"sendKeys(findTestObject(""Object Repository/BtonPassword""), Password)",Chrome 131.0.0.0,,,14-01-2025 14:45:58,14-01-2025 14:45:58,"0,350s",PASSED
"sendKeys(findTestObject(""Object Repository/BtonLoggin""), Keys.chord(ENTER))",Chrome 131.0.0.0,,,14-01-2025 14:45:58,14-01-2025 14:46:00,"1,135s",PASSED
"takeScreenshot(""D:/Capturas Imagenes Pruebas Aut/ProyectoAutomatizacionPass/"" + CapturaPantalla)",Chrome 131.0.0.0,,,14-01-2025 14:46:00,14-01-2025 14:46:00,"0,783s",PASSED
Thread.sleep(4000),Chrome 131.0.0.0,,,14-01-2025 14:46:00,14-01-2025 14:46:04,"4,009s",PASSED
closeBrowser(),Chrome 131.0.0.0,,,14-01-2025 14:46:04,14-01-2025 14:46:05,"0,805s",PASSED
,,,,,,,
Test Cases/InicioExitosoPass,Chrome 131.0.0.0,,,14-01-2025 14:46:05,14-01-2025 14:46:16,"10,438s",PASSED
"openBrowser(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 131.0.0.0,,,14-01-2025 14:46:05,14-01-2025 14:46:09,"4,153s",PASSED
maximizeWindow(),Chrome 131.0.0.0,,,14-01-2025 14:46:09,14-01-2025 14:46:09,"0,045s",PASSED
waitForPageLoad(30),Chrome 131.0.0.0,,,14-01-2025 14:46:09,14-01-2025 14:46:09,"0,015s",PASSED
"sendKeys(findTestObject(""Object Repository/BtonUsuario""), Usuario)",Chrome 131.0.0.0,,,14-01-2025 14:46:09,14-01-2025 14:46:10,"0,712s",PASSED
"sendKeys(findTestObject(""Object Repository/BtonPassword""), Password)",Chrome 131.0.0.0,,,14-01-2025 14:46:10,14-01-2025 14:46:10,"0,358s",PASSED
"sendKeys(findTestObject(""Object Repository/BtonLoggin""), Keys.chord(ENTER))",Chrome 131.0.0.0,,,14-01-2025 14:46:10,14-01-2025 14:46:11,"0,349s",PASSED
"takeScreenshot(""D:/Capturas Imagenes Pruebas Aut/ProyectoAutomatizacionPass/"" + CapturaPantalla)",Chrome 131.0.0.0,,,14-01-2025 14:46:11,14-01-2025 14:46:11,"0,551s",PASSED
Thread.sleep(4000),Chrome 131.0.0.0,,,14-01-2025 14:46:11,14-01-2025 14:46:15,"4,003s",PASSED
closeBrowser(),Chrome 131.0.0.0,,,14-01-2025 14:46:15,14-01-2025 14:46:16,"0,235s",PASSED
